Time,Close,High,Low,Open,Volume
09:30,388.175,388.99,387.2,388.5,193789
09:31,388.57,388.61,388.22,388.22,3178
09:32,389.08,389.08,388.85,388.85,1723
09:33,389.6445,389.67,389.45,389.5,5271
09:34,389.6401,390.0,389.62,389.98,3191
09:35,389.65,390.0,389.63,389.65,5915
09:36,389.92,390.0,389.75,389.83,5957
09:37,390.04,390.18,389.6,389.81,10773
09:38,389.87,390.51,389.82,390.36,6455
09:39,389.31,389.73,389.31,389.73,2146
09:40,389.39,389.82,389.39,389.575,3979
09:41,389.02,389.562,389.02,389.562,3704
09:42,389.27,389.27,388.84,389.02,3009
09:43,389.31,389.65,389.23,389.53,5274
09:44,389.5,389.57,389.43,389.54,2023
09:45,389.73,389.73,389.3,389.3,4739
09:46,389.81,389.99,389.75,389.75,2677
09:47,390.04,390.04,389.78,389.78,3299
09:48,391.4438,391.4438,390.05,390.12,13076
09:49,391.46,391.48,391.0,391.2617,4927
09:50,390.99,391.15,390.585,391.13,8863
09:51,391.19,391.19,390.91,390.91,2791
09:52,391.16,391.3369,391.03,391.3369,2169
09:53,391.72,391.74,391.25,391.32,12412
09:54,391.4,391.93,391.4,391.44,7504
09:55,391.42,391.59,391.42,391.48,5490
09:56,391.7184,391.9,391.42,391.42,3948
09:57,391.63,391.9483,391.63,391.77,12318
09:58,391.27,391.655,391.27,391.655,4371
09:59,390.54,391.255,390.5,391.255,7761
10:00,389.98,390.495,389.94,390.495,9454
10:01,389.445,390.25,389.445,390.05,5453
10:02,390.04,390.04,389.13,389.26,6242
10:03,389.82,390.15,389.78,390.15,3205
10:04,389.32,389.97,389.31,389.9651,8055
10:05,389.87,390.0,389.46,389.46,6869
10:06,389.65,390.23,389.65,390.07,3627
10:07,389.58,389.695,389.455,389.455,4579
10:08,389.3,389.45,389.19,389.45,2478
10:09,389.085,389.44,388.92,389.44,2455
10:10,388.96,389.245,388.96,389.11,4399
10:11,389.83,389.96,389.06,389.065,7961
10:12,389.8,389.85,389.6952,389.85,1459
10:13,389.99,390.0,389.69,389.69,4819
10:14,391.06,391.06,390.29,390.29,6402
10:15,391.115,391.115,391.0678,391.1,1702
10:16,390.53,391.22,390.53,391.22,6134
10:17,390.34,390.53,390.34,390.53,3213
10:18,390.28,390.4075,390.16,390.2,5087
10:19,389.985,390.28,389.82,390.268,6158
10:20,390.015,390.08,389.51,389.6,5615
10:21,389.74,390.16,389.67,390.16,8132
10:22,389.76,389.76,389.645,389.66,1837
10:23,389.97,390.0,389.76,389.76,2733
10:24,390.0,390.09,389.86,389.86,3603
10:25,389.87,390.095,389.68,390.095,5146
10:26,389.84,389.87,389.65,389.87,4971
10:27,390.605,390.715,390.0501,390.21,8008
10:28,390.35,390.46,390.23,390.43,3258
10:29,390.02,390.38,389.93,390.38,3808
10:30,390.14,390.2674,389.865,390.08,4206
10:31,390.375,390.4,390.21,390.27,4611
10:32,390.195,390.375,390.15,390.375,2396
10:33,390.39,390.39,390.1671,390.205,2305
10:34,390.03,390.24,390.03,390.24,4102
10:35,389.86,390.08,389.73,390.055,5293
10:36,389.83,389.88,389.77,389.77,4115
10:37,389.88,390.05,389.8375,389.9799,4627
10:38,390.14,390.14,390.05,390.05,2045
10:39,390.075,390.22,389.97,390.22,4621
10:40,390.21,390.21,390.045,390.045,880
10:41,390.685,390.72,390.17,390.22,4763
10:42,390.88,390.88,390.79,390.79,2769
10:43,390.64,390.83,390.545,390.79,9288
10:44,390.63,390.63,390.535,390.57,4999
10:45,390.63,390.9,390.6,390.6,4440
10:46,390.6,390.81,390.5001,390.5001,3390
10:47,390.62,390.74,390.62,390.63,2273
10:48,390.89,390.92,390.715,390.715,2072
10:49,390.94,391.19,390.94,390.98,8773
10:50,391.155,391.155,390.96,390.96,3824
10:51,391.2,391.2,390.96,391.09,6170
10:52,390.94,391.1,390.94,391.07,2638
10:53,391.165,391.3,390.9,390.93,5567
10:54,390.965,391.06,390.88,391.06,2365
10:55,390.9283,391.01,390.89,390.955,1762
10:56,390.62,391.0,390.62,390.77,4894
10:57,390.65,390.78,390.65,390.7761,3807
10:58,390.77,390.8,390.645,390.685,3483
10:59,390.6408,390.67,390.564,390.67,2431
11:00,391.03,391.03,390.66,390.66,3410
11:01,391.09,391.28,391.0,391.0,5329
11:02,391.39,391.4,390.91,391.01,3930
11:03,391.03,391.42,391.03,391.4,7758
11:04,390.92,391.23,390.91,391.0402,3186
11:05,391.14,391.14,390.97,391.06,3239
11:06,391.44,391.59,391.19,391.19,7519
11:07,391.175,391.38,391.175,391.38,6284
11:08,391.07,391.07,390.96,391.0,2824
11:09,390.835,391.135,390.75,391.11,6960
11:10,391.1,391.3,390.93,390.93,6346
11:11,390.96,390.99,390.9,390.98,3138
11:12,390.45,390.74,390.41,390.74,5751
11:13,390.3775,390.395,390.29,390.34,3030
11:14,390.16,390.34,390.16,390.284,4147
11:15,390.17,390.31,390.05,390.16,12348
11:16,390.395,390.455,390.165,390.17,8156
11:17,390.48,390.53,390.32,390.4,5392
11:18,390.36,390.58,390.27,390.58,11181
11:19,390.475,390.475,390.335,390.38,3074
11:20,390.42,390.525,390.35,390.385,2157
11:21,390.35,390.5499,390.28,390.51,5211
11:22,390.745,390.9,390.53,390.53,3611
11:23,390.64,390.828,390.6,390.828,2242
11:24,391.0,391.02,390.78,390.78,3236
11:25,390.81,390.91,390.75,390.75,5545
11:26,391.29,391.29,390.93,390.93,3430
11:27,391.11,391.36,391.11,391.2925,2221
11:28,391.19,391.325,391.15,391.15,2026
11:29,391.235,391.31,391.14,391.215,1753
11:30,391.23,391.33,391.13,391.33,5032
11:31,391.0772,391.16,391.02,391.12,2666
11:32,391.5051,391.5275,391.06,391.09,3624
11:33,390.935,391.42,390.9102,391.42,3300
11:34,391.01,391.14,391.01,391.09,2790
11:35,390.97,391.1,390.97,391.1,3534
11:36,390.82,391.0,390.79,391.0,2264
11:37,391.06,391.06,390.99,390.99,1147
11:38,391.145,391.16,390.99,391.0725,3339
11:39,391.545,391.63,391.14,391.14,3243
11:40,391.64,391.83,391.58,391.64,4002
11:41,391.64,391.6675,391.64,391.6675,2013
11:42,391.52,391.68,391.45,391.66,2291
11:43,391.415,391.51,391.4,391.51,2638
11:44,391.58,391.8,391.57,391.61,5314
11:45,391.6301,391.64,391.425,391.58,4713
11:46,391.77,391.83,391.7,391.7,2849
11:47,391.68,391.77,391.605,391.77,2393
11:48,392.125,392.125,391.8,391.8,6936
11:49,392.09,392.09,391.94,392.09,2894
11:50,391.95,392.1104,391.88,392.1104,4905
11:51,392.1,392.12,391.9,391.9,3437
11:52,392.015,392.02,391.8464,392.015,2187
11:53,391.99,392.14,391.96,392.015,4980
11:54,392.03,392.03,392.01,392.015,1716
11:55,392.19,392.25,391.94,391.95,9951
11:56,392.3,392.36,392.095,392.195,5578
11:57,392.57,392.57,392.35,392.35,2894
11:58,392.575,392.68,392.575,392.68,2358
11:59,392.43,392.605,392.43,392.6,6017
12:00,392.62,392.625,392.28,392.33,4638
12:01,392.47,392.64,392.38,392.605,2911
12:02,392.231,392.49,392.231,392.38,2480
12:03,392.735,392.735,392.44,392.44,3113
12:04,392.77,392.89,392.77,392.865,3854
12:05,392.68,392.845,392.65,392.76,8345
12:06,392.82,392.91,392.755,392.755,2838
12:07,392.94,392.94,392.7875,392.8,5211
12:08,392.84,393.08,392.84,392.915,14994
12:09,392.93,392.94,392.75,392.94,3792
12:10,392.94,392.94,392.9,392.93,1605
12:11,392.78,392.95,392.78,392.95,5479
12:12,392.74,392.93,392.69,392.85,5208
12:13,392.77,392.93,392.77,392.88,2215
12:14,392.85,392.85,392.745,392.745,2730
12:15,393.11,393.11,392.85,392.85,3159
12:16,392.73,393.0,392.73,393.0,5765
12:17,392.61,392.73,392.61,392.73,2111
12:18,392.485,392.73,392.37,392.62,6289
12:19,392.47,392.54,392.35,392.49,4238
12:20,392.52,392.59,392.52,392.5399,2462
12:21,392.54,392.605,392.429,392.429,1607
12:22,392.42,392.6,392.3185,392.51,3260
12:23,392.3325,392.42,392.2617,392.42,3331
12:24,392.15,392.275,392.15,392.26,2356
12:25,392.31,392.31,392.1705,392.2,2321
12:26,392.09,392.265,392.09,392.228,2078
12:27,392.26,392.26,392.26,392.26,1100
12:28,392.265,392.265,392.26,392.26,1272
12:29,392.0,392.265,392.0,392.265,4210
12:30,391.98,391.99,391.93,391.93,1830
12:31,392.01,392.04,392.01,392.02,952
12:32,391.85,392.03,391.82,392.03,2574
12:33,391.69,391.69,391.557,391.557,2055
12:34,391.685,391.685,391.685,391.685,1012
12:35,391.77,391.88,391.77,391.88,1274
12:36,391.645,391.68,391.61,391.67,2359
12:37,391.685,391.685,391.685,391.685,1329
