Time,Close,High,Low,Open,Volume
09:30,96.085,96.85,95.95,96.53,1608058
09:31,95.815,96.25,95.7103,96.0997,217939
09:32,96.0,96.255,95.7233,95.815,138402
09:33,96.228,96.24,95.98,96.0,111695
09:34,96.21,96.3896,96.13,96.18,121476
09:35,96.16,96.38,96.11,96.2,144951
09:36,96.065,96.17,96.01,96.16,165265
09:37,96.1099,96.12,96.0,96.06,134132
09:38,96.2,96.24,96.01,96.089,89298
09:39,96.38,96.43,96.16,96.23,99049
09:40,96.31,96.48,96.28,96.38,182633
09:41,96.25,96.315,96.19,96.3,72217
09:42,96.39,96.3981,96.23,96.25,78188
09:43,96.32,96.4,96.31,96.39,55635
09:44,96.3,96.33,96.25,96.32,94705
09:45,96.085,96.36,96.04,96.3,126743
09:46,96.1005,96.19,96.06,96.075,64093
09:47,96.115,96.12,96.02,96.1,121987
09:48,96.01,96.115,96.0,96.115,108899
09:49,96.06,96.21,96.0,96.01,94432
09:50,96.065,96.14,96.06,96.07,80922
09:51,96.0501,96.1267,96.03,96.07,77330
09:52,95.8001,96.09,95.77,96.055,238734
09:53,95.8498,95.85,95.71,95.81,109394
09:54,95.91,95.96,95.8,95.8499,69830
09:55,95.78,95.94,95.763,95.905,104362
09:56,95.61,95.78,95.56,95.77,184571
09:57,95.47,95.6,95.41,95.59,194950
09:58,95.33,95.48,95.22,95.4731,192388
09:59,95.3626,95.46,95.31,95.33,104272
10:00,95.315,95.46,95.23,95.36,142120
10:01,95.28,95.33,95.12,95.33,195548
10:02,95.55,95.58,95.29,95.29,141330
10:03,95.49,95.5898,95.41,95.55,97293
10:04,95.31,95.4966,95.23,95.4809,112474
10:05,95.15,95.41,95.14,95.31,116027
10:06,95.255,95.27,95.16,95.16,94322
10:07,95.42,95.44,95.25,95.26,107047
10:08,95.5,95.5,95.27,95.4,109357
10:09,95.36,95.57,95.36,95.5,158628
10:10,95.33,95.45,95.27,95.37,69437
10:11,95.3298,95.45,95.31,95.33,82057
10:12,95.36,95.43,95.275,95.33,74119
10:13,95.5001,95.51,95.3311,95.355,87076
10:14,95.465,95.62,95.43,95.52,103850
10:15,95.39,95.465,95.37,95.46,67487
10:16,95.4801,95.53,95.35,95.385,73927
10:17,95.605,95.64,95.47,95.4856,80640
10:18,95.585,95.635,95.555,95.6026,102629
10:19,95.475,95.6,95.41,95.585,103834
10:20,95.6,95.66,95.49,95.49,110354
10:21,95.39,95.695,95.385,95.6,146629
10:22,95.485,95.52,95.35,95.38,180513
10:23,95.5617,95.645,95.44,95.47,65200
10:24,95.69,95.75,95.555,95.5699,77849
10:25,95.685,95.77,95.6001,95.7,69396
10:26,95.795,95.825,95.6434,95.68,72009
10:27,95.58,95.83,95.53,95.795,78477
10:28,95.56,95.5897,95.47,95.5897,79647
10:29,95.6,95.6174,95.51,95.57,48089
10:30,95.6691,95.72,95.611,95.62,48388
10:31,95.82,95.86,95.66,95.67,66289
10:32,95.74,95.82,95.675,95.815,59086
10:33,95.7,95.76,95.6409,95.73,65712
10:34,95.66,95.75,95.64,95.705,46531
10:35,95.66,95.68,95.575,95.66,56323
10:36,95.6794,95.7222,95.63,95.66,41357
10:37,95.735,95.7395,95.66,95.69,45082
10:38,95.79,95.8199,95.725,95.73,48454
10:39,95.67,95.795,95.64,95.795,49892
10:40,95.63,95.73,95.6,95.68,41981
10:41,95.55,95.65,95.55,95.63,52022
10:42,95.545,95.5874,95.53,95.569,50707
10:43,95.5501,95.6093,95.525,95.5415,44517
10:44,95.625,95.625,95.53,95.555,57126
10:45,95.855,95.88,95.63,95.63,65271
10:46,95.78,95.855,95.7414,95.855,39222
10:47,95.77,95.795,95.695,95.77,46743
10:48,95.73,95.79,95.73,95.77,44114
10:49,95.745,95.755,95.7,95.7316,47177
10:50,95.7,95.83,95.68,95.745,81066
10:51,95.68,95.74,95.67,95.7,38472
10:52,95.6998,95.71,95.615,95.68,36128
10:53,95.695,95.715,95.67,95.695,43151
10:54,95.743,95.75,95.68,95.69,837546
10:55,95.675,95.805,95.665,95.745,55920
10:56,95.7,95.725,95.66,95.675,36357
10:57,95.64,95.71,95.635,95.7,35335
10:58,95.7,95.75,95.63,95.64,39641
10:59,95.75,95.78,95.69,95.69,34059
11:00,95.88,95.89,95.74,95.75,84947
11:01,95.7715,95.8875,95.76,95.87,63024
11:02,95.8601,95.87,95.72,95.7744,60535
11:03,95.71,95.88,95.71,95.865,54001
11:04,95.845,95.87,95.7007,95.71,45145
11:05,95.785,95.88,95.78,95.84,42221
11:06,95.885,95.885,95.785,95.79,78111
11:07,95.8458,95.93,95.83,95.88,60384
11:08,95.875,95.88,95.81,95.85,36059
11:09,95.895,95.93,95.84,95.87,58377
11:10,95.819,95.905,95.78,95.8999,86334
11:11,95.725,95.85,95.67,95.82,83743
11:12,95.6553,95.74,95.6007,95.725,51563
11:13,95.73,95.74,95.655,95.66,44159
11:14,95.72,95.79,95.7,95.73,37417
11:15,95.65,95.73,95.65,95.721,68284
11:16,95.59,95.665,95.56,95.646,59187
11:17,95.5656,95.585,95.52,95.58,59446
11:18,95.59,95.595,95.51,95.57,68013
11:19,95.57,95.6299,95.57,95.6,33652
11:20,95.71,95.74,95.57,95.58,62866
11:21,95.68,95.715,95.6644,95.715,39251
11:22,95.67,95.68,95.615,95.67,27122
11:23,95.605,95.67,95.57,95.66,28715
11:24,95.535,95.6081,95.51,95.605,34867
11:25,95.465,95.55,95.45,95.535,57835
11:26,95.425,95.48,95.41,95.47,54017
11:27,95.44,95.5,95.42,95.425,65482
11:28,95.495,95.505,95.45,95.45,33250
11:29,95.405,95.495,95.395,95.495,46982
11:30,95.3533,95.41,95.35,95.4015,48199
11:31,95.3642,95.4,95.33,95.36,48813
11:32,95.39,95.41,95.355,95.3601,31234
11:33,95.39,95.41,95.38,95.38,43711
11:34,95.52,95.565,95.38,95.39,131906
11:35,95.495,95.56,95.48,95.53,74813
11:36,95.395,95.505,95.3847,95.495,82306
11:37,95.46,95.47,95.39,95.39,34778
11:38,95.4201,95.4697,95.4,95.4644,43592
11:39,95.375,95.45,95.3701,95.4221,54683
11:40,95.405,95.405,95.35,95.37,47483
11:41,95.395,95.42,95.38,95.405,38833
11:42,95.385,95.415,95.365,95.4,50157
11:43,95.365,95.4,95.355,95.38,52798
11:44,95.3362,95.37,95.28,95.37,65814
11:45,95.385,95.3899,95.33,95.335,65625
11:46,95.305,95.39,95.28,95.38,53445
11:47,95.305,95.35,95.29,95.3047,34757
11:48,95.265,95.32,95.25,95.31,45191
11:49,95.2807,95.2962,95.26,95.2633,44534
11:50,95.195,95.285,95.18,95.28,61383
11:51,95.06,95.205,95.06,95.19,83838
11:52,95.015,95.075,94.94,95.065,424121
11:53,95.018,95.0307,94.955,95.015,55650
11:54,95.005,95.0899,94.99,95.015,60713
11:55,94.885,95.015,94.88,95.01,134742
11:56,94.94,94.975,94.88,94.89,65481
11:57,94.93,94.96,94.88,94.9506,54523
11:58,94.8501,94.94,94.83,94.93,52685
11:59,94.88,94.91,94.8512,94.855,49726
12:00,94.86,94.89,94.79,94.8821,100477
12:01,94.8601,94.91,94.86,94.87,1100784
12:02,94.905,94.91,94.81,94.87,63238
12:03,94.86,94.9,94.82,94.9,74065
12:04,94.9001,94.9774,94.85,94.86,64192
12:05,94.875,94.9095,94.86,94.9095,40328
12:06,94.86,94.875,94.81,94.875,59075
12:07,94.834,94.91,94.81,94.85,77770
12:08,94.84,94.87,94.8,94.835,63816
12:09,94.8,94.86,94.75,94.835,151268
12:10,94.76,94.8,94.67,94.7975,150940
12:11,94.73,94.8099,94.7242,94.76,71786
12:12,94.695,94.79,94.69,94.74,59105
12:13,94.67,94.755,94.605,94.695,65159
12:14,94.64,94.7,94.63,94.665,32759
12:15,94.675,94.705,94.64,94.645,84109
12:16,94.585,94.7,94.57,94.68,70546
12:17,94.64,94.64,94.54,94.59,60545
12:18,94.55,94.64,94.52,94.635,60234
12:19,94.52,94.56,94.52,94.545,68253
12:20,94.47,94.525,94.45,94.525,119435
12:21,94.46,94.505,94.44,94.46,88448
12:22,94.44,94.5,94.43,94.46,321971
12:23,94.425,94.46,94.33,94.46,140222
12:24,94.405,94.48,94.38,94.43,79341
12:25,94.38,94.46,94.38,94.41,72039
12:26,94.52,94.55,94.385,94.385,67982
12:27,94.62,94.69,94.51,94.515,78570
12:28,94.6653,94.72,94.63,94.635,52215
12:29,94.66,94.685,94.6,94.6614,64285
12:30,94.665,94.685,94.58,94.665,50866
12:31,94.6399,94.67,94.59,94.6644,33476
12:32,94.575,94.67,94.55,94.64,55537
12:33,94.62,94.6367,94.5701,94.58,297457
12:34,94.62,94.665,94.6,94.6301,32011
12:35,94.63,94.67,94.6,94.6299,42915
12:36,94.655,94.66,94.6,94.635,28199
12:37,94.495,94.655,94.47,94.655,65673
12:38,94.48,94.53,94.41,94.5,87329
12:39,94.425,94.5,94.425,94.48,28771
12:40,94.4047,94.45,94.38,94.425,39163
12:41,94.38,94.405,94.3538,94.4023,46626
12:42,94.44,94.44,94.35,94.385,118788
12:43,94.51,94.56,94.425,94.44,64123
12:44,94.46,94.53,94.46,94.51,40411
12:45,94.505,94.51,94.35,94.46,82651
12:46,94.48,94.57,94.45,94.49,53101
12:47,94.5,94.55,94.48,94.49,28536
12:48,94.5256,94.56,94.495,94.495,31665
12:49,94.54,94.55,94.5223,94.525,23935
12:50,94.525,94.56,94.49,94.55,31973
12:51,94.49,94.555,94.45,94.525,36050
12:52,94.425,94.5,94.42,94.4884,37388
12:53,94.36,94.45,94.355,94.425,41621
12:54,94.28,94.35,94.24,94.35,135380
12:55,94.29,94.42,94.27,94.29,92299
12:56,94.355,94.37,94.275,94.29,45469
12:57,94.305,94.365,94.28,94.36,41466
12:58,94.31,94.33,94.2793,94.32,38998
12:59,94.3616,94.4,94.3,94.3167,49495
13:00,94.3699,94.43,94.345,94.365,30806
13:01,94.415,94.44,94.31,94.37,54716
13:02,94.39,94.5,94.39,94.41,65267
13:03,94.475,94.48,94.35,94.39,42666
13:04,94.455,94.4744,94.4,94.46,33268
13:05,94.475,94.495,94.43,94.46,36315
13:06,94.47,94.49,94.4338,94.47,25134
13:07,94.4801,94.52,94.42,94.475,56736
13:08,94.545,94.5658,94.48,94.485,63424
13:09,94.3699,94.575,94.34,94.545,68967
13:10,94.374,94.45,94.37,94.37,49924
13:11,94.33,94.42,94.325,94.38,43874
13:12,94.39,94.41,94.26,94.33,80900
13:13,94.37,94.4,94.355,94.39,42125
13:14,94.375,94.43,94.36,94.38,52297
13:15,94.36,94.4,94.335,94.38,46028
13:16,94.395,94.405,94.31,94.365,42063
13:17,94.495,94.51,94.38,94.4,66083
13:18,94.335,94.51,94.32,94.5,64120
13:19,94.285,94.335,94.28,94.335,53961
13:20,94.245,94.28,94.22,94.28,56516
13:21,94.26,94.305,94.19,94.245,82865
13:22,94.28,94.32,94.2201,94.26,37825
13:23,94.235,94.3,94.235,94.28,48181
13:24,94.205,94.27,94.18,94.2399,48783
13:25,94.315,94.335,94.2,94.2,38851
13:26,94.31,94.33,94.27,94.33,30660
13:27,94.335,94.34,94.2829,94.305,27678
13:28,94.3815,94.4,94.34,94.34,47895
13:29,94.355,94.385,94.29,94.385,50559
13:30,94.335,94.37,94.285,94.355,58939
13:31,94.262,94.36,94.255,94.34,46876
13:32,94.16,94.29,94.13,94.27,75368
13:33,94.18,94.205,94.13,94.1601,64910
13:34,94.195,94.21,94.14,94.185,34653
13:35,94.1856,94.24,94.145,94.195,69224
13:36,94.2,94.23,94.165,94.1851,52888
13:37,94.22,94.245,94.2,94.2,31131
13:38,94.215,94.25,94.205,94.22,47583
13:39,94.12,94.225,94.115,94.215,84911
13:40,94.175,94.1867,94.115,94.13,56663
13:41,94.17,94.225,94.15,94.175,55434
13:42,94.2331,94.235,94.15,94.16,43268
13:43,94.22,94.27,94.22,94.235,48841
13:44,94.165,94.215,94.15,94.2116,55965
13:45,94.375,94.46,94.165,94.165,67225
13:46,94.4,94.42,94.2702,94.3701,49263
13:47,94.38,94.4386,94.36,94.385,53042
13:48,94.445,94.485,94.38,94.38,85102
13:49,94.48,94.48,94.405,94.4456,33668
13:50,94.42,94.49,94.41,94.46,64248
13:51,94.485,94.49,94.42,94.425,26339
13:52,94.5,94.545,94.46,94.485,60519
13:53,94.385,94.49,94.38,94.49,27800
13:54,94.38,94.44,94.36,94.4,34550
13:55,94.34,94.38,94.3,94.3756,60823
13:56,94.3,94.335,94.26,94.335,33725
13:57,94.341,94.35,94.285,94.3,28759
13:58,94.345,94.35,94.32,94.34,24824
13:59,94.3818,94.415,94.34,94.345,47788
14:00,94.325,94.41,94.31,94.3801,62794
14:01,94.345,94.365,94.28,94.335,31356
14:02,94.3401,94.385,94.32,94.345,38366
14:03,94.3244,94.3699,94.32,94.35,30062
14:04,94.285,94.35,94.28,94.33,40749
14:05,94.435,94.445,94.285,94.29,48239
14:06,94.43,94.47,94.41,94.42,33682
14:07,94.395,94.45,94.38,94.42,31503
14:08,94.465,94.47,94.375,94.4,44024
14:09,94.455,94.465,94.42,94.46,28041
14:10,94.4999,94.54,94.455,94.455,121726
14:11,94.54,94.56,94.4908,94.5,46055
14:12,94.8,94.8,94.55,94.555,81709
14:13,94.75,94.84,94.69,94.805,116633
14:14,94.74,94.82,94.72,94.76,44363
14:15,94.625,94.775,94.61,94.745,46613
14:16,94.655,94.66,94.55,94.62,31250
14:17,94.64,94.7,94.63,94.66,28305
14:18,94.62,94.69,94.62,94.6499,27074
14:19,94.54,94.67,94.54,94.62,34739
14:20,94.42,94.56,94.42,94.55,75103
14:21,94.46,94.46,94.36,94.415,64872
14:22,94.525,94.525,94.44,94.456,38271
14:23,94.5099,94.525,94.48,94.52,31654
14:24,94.48,94.5097,94.46,94.505,43343
14:25,94.52,94.65,94.485,94.485,58937
